Dimension 1,Dimension 2
-21.30892,10.138377
59.62404,-53.378788
-98.047646,31.634872
-20.06394,6.6890297
-24.95281,19.302687
-118.22638,20.592857
37.498215,-42.025528
-12.934778,-35.445816
-34.63302,-28.419943
-45.33277,55.929523
-86.64493,40.322773
-67.06417,36.2054
11.546993,26.342838
-118.22638,20.592857
-37.3773,38.307053
-20.650402,80.80109
-118.22638,20.592857
7.0939255,-37.557037
5.644984,-64.60793
12.802761,9.03319
-25.15608,-43.436836
10.370656,57.868576
-43.22561,63.90914
8.634242,-36.9075
-118.56159,19.991392
-96.19901,34.062534
-27.575893,-64.10845
-32.027878,35.680786
-27.443932,-64.34639
-118.22638,20.592857
-69.928,-34.496258
-4.7649136,-5.0141454
14.984713,-26.025095
9.908844,57.896652
-2.5008264,14.003804
11.152527,-81.91299
-58.116425,-45.16571
-60.35887,11.242153
-59.380768,-41.68114
-10.642235,-90.27901
-16.66041,-84.63984
-4.9782376,-0.24389048
-6.7375784,35.658882
-60.986027,20.18944
-118.22638,20.592857
-2.0335634,0.43494323
-6.3470554,60.360462
-17.673304,-86.890945
-10.619759,57.42171
-33.072636,-24.802149
-44.742615,40.21268
-118.22638,20.592857
-118.22638,20.592857
-31.33043,35.550125
43.306686,52.887856
21.275288,-23.032936
11.554035,-45.98871
82.07653,44.426228
32.63655,-43.429234
62.813908,26.711988
-107.349014,-0.5372004
85.58219,9.591223
-18.132795,78.41615
-67.30607,36.073986
-26.015717,74.29729
74.88936,50.362885
60.9223,0.046997637
57.94655,29.785788
2.816016,-27.80627
45.185635,-58.096027
66.97697,8.459946
-67.041405,35.06118
-5.7458777,-5.2925262
-47.281807,-43.277004
-3.4683762,48.751144
11.787042,-82.9679
25.536942,71.91295
-29.40991,-54.981182
-28.261278,33.827053
13.362173,-85.307884
-20.864927,81.02571
-24.41671,-42.25291
-61.660973,29.095158
-23.321894,-79.20241
-13.831045,-25.344975
19.007557,-25.492037
-33.888073,-27.22898
12.829352,48.339462
-32.840553,-1.7409513
-96.81619,33.03932
-5.0762715,-76.72301
-87.65847,38.481632
-97.3848,32.457386
-33.663055,36.8748
64.36802,-31.439774
-93.62115,36.421604
39.305313,-2.1104376
-72.74543,-22.541512
62.011852,-54.662872
42.470387,-22.770678
14.745107,68.35974
61.632164,-53.482803
-48.797085,-41.527588
50.582825,-61.703724
-7.9905944,-14.909497
-6.6934857,-5.115738
36.491722,26.847929
13.082933,50.248806
-7.1462293,8.840228
23.691498,-6.3584576
15.118658,54.297455
-17.827284,71.0852
43.41458,53.02123
77.01976,47.814983
15.389535,-79.1447
-7.897831,-85.86233
4.743142,-56.58036
-5.116715,36.357456
18.23703,16.200296
62.623573,20.164196
62.909615,-4.067734
79.26088,-14.078468
-107.34933,-0.5385356
-60.05525,18.338886
-100.6764,26.715458
38.545685,42.79123
-76.90332,40.547417
64.15258,-2.5889304
11.197562,-46.441196
-37.700596,-7.0180244
-24.400898,-46.897137
-113.97011,2.5885785
38.011948,-58.652493
-68.97575,-33.877377
-13.875669,62.992126
79.59185,-14.519389
-25.844044,8.743002
-68.66898,0.5953112
36.713467,38.855225
-19.915676,18.069397
-23.477104,76.325356
-113.97011,2.5885785
-47.94586,51.817547
-19.466455,-68.826454
-69.26308,-0.1091435
-36.18964,-33.358574
-39.516834,18.284224
78.66771,46.853783
9.494535,37.279854
-12.689593,-35.032284
-67.82635,36.434475
-29.239065,52.757454
60.701054,26.33685
-64.52005,3.8589497
36.58625,38.895992
-6.262334,62.403774
-113.97011,2.5885785
62.06763,44.285904
60.669003,47.007614
-60.648735,16.753235
18.456074,16.982126
14.049907,-83.38224
14.025099,-26.124598
-113.97011,2.5885785
-12.284625,-54.000637
-27.394075,54.047558
10.223056,-65.71699
17.762737,5.801633
-113.97011,2.5885785
-19.552244,9.099921
12.198142,-74.97599
7.9307528,-37.11223
-107.34933,-0.5385356
9.030922,-48.529392
-72.29803,-4.5409455
-97.964096,31.117565
-100.261,27.276129
-101.09544,26.192415
-72.07604,-15.566252
-26.542007,73.12163
61.742916,43.62256
-69.76308,0.33785582
-69.86758,-6.5470247
37.710735,37.043938
40.011196,50.27225
63.197643,11.525705
-75.79648,-16.703018
36.062283,0.12387967
-34.91751,-28.452955
32.935547,77.652626
39.2945,43.701256
-34.65289,-29.924898
-21.616354,21.286543
17.854464,78.4259
60.355522,30.970242
-33.54377,-23.425884
-39.606823,-9.791669
-35.863506,-12.709237
-44.477352,63.697254
-35.309887,-27.595295
-113.97011,2.5885785
18.038239,21.340189
10.865069,-77.631485
43.00299,4.985584
80.94966,-9.4004135
-42.31154,38.326603
8.351604,66.53542
31.421417,78.81734
-61.511734,27.35081
-11.734875,-84.79577
-60.04022,9.868828
-113.97011,2.5885785
-39.87323,69.14574
37.570763,11.372144
-112.80982,2.7812297
-2.142164,17.90997
-6.4337106,60.553677
39.397305,-1.8827941
14.041331,-29.83918
-41.400917,38.41623
-26.967884,-70.86413
-34.444366,-4.123688
-17.451448,43.03378
35.444984,-34.57899
9.814339,-80.65674
36.84298,-39.515068
-105.836586,-0.95044845
-50.18417,69.680115
63.155163,1.8502183
-112.80982,2.7812297
7.482803,-56.012726
-35.27568,-21.630062
-70.82501,-2.295839
62.85598,-29.663397
-21.127234,10.759857
11.152173,-11.858918
-22.414293,10.86764
73.65965,51.57098
-58.925373,17.797058
-14.181902,-36.095444
30.06168,78.56312
-19.920929,19.67102
-30.002588,34.234283
86.908585,31.253696
-66.95698,34.71555
5.863632,-64.480965
-24.788403,19.687944
-2.0563083,0.55459654
11.641373,-70.324394
10.39479,49.984226
-98.34804,30.394005
-100.67272,26.720276
-10.383796,43.682636
-112.80982,2.7812297
62.671055,19.512724
-28.2126,34.843124
-60.793114,7.951735
-60.665997,18.304623
-22.344221,21.223463
-16.53331,-27.974522
38.22283,29.711056
-9.206099,72.02249
-15.700066,-29.464762
34.974182,-44.677647
-75.42833,-23.605425
40.687725,36.782772
-13.181299,-20.159464
43.893448,-6.455263
-113.97011,2.5885785
34.596394,-46.20583
45.705948,-10.242997
-20.704777,17.171984
9.340128,-37.300007
20.313831,8.521509
21.330475,2.3231244
19.110733,-12.202493
15.620707,-34.930187
-87.75654,39.85143
39.2397,-31.79463
-5.001996,-1.5925562
-38.852924,-28.954956
19.164764,-15.584183
-6.113651,-4.0984287
-41.986324,49.935238
-11.88456,-88.454834
-23.188377,-64.53394
-45.342033,39.87815
-93.243355,36.82079
-89.45307,39.174934
12.1643715,-25.166285
-112.80982,2.7812297
28.98329,78.89551
-38.324722,-11.043504
83.07789,-28.575071
-41.93232,49.870262
-107.349174,-0.5385744
-37.62958,-5.282196
22.702446,-15.187489
-112.80982,2.7812297
-6.7533154,-5.5194235
39.57298,39.804596
-43.790565,-38.37825
-44.753452,62.221226
-38.57895,-10.63294
-23.78598,22.493282
-7.5069404,-14.27133
-23.362957,81.85578
-30.319714,74.05152
4.7202506,-43.416527
37.813496,-2.4455974
61.549355,43.18893
-37.008022,35.38269
-15.023996,-29.526869
-74.01037,-14.182343
-37.681446,46.215008
37.521152,-2.5819626
-69.549934,-2.1931567
36.7436,-37.48868
-27.004047,-71.94842
-34.79893,-30.340343
4.1491857,-54.878727
-4.876159,20.70109
3.7714484,-53.684196
-13.338534,-82.89687
-3.1757507,44.35455
1.0901057,-70.7899
-112.80982,2.7812297
63.63465,-45.55324
12.052608,-82.91912
-25.762085,-73.201385
-24.906559,-44.34247
-71.86695,-3.3654213
39.473442,-36.073677
7.8178062,-42.402523
-4.3825,-2.320807
-24.310804,-47.28196
-107.34933,-0.53853077
9.398425,-79.67799
84.58603,4.087685
12.954559,9.2091875
-20.064598,7.031947
-1.8780553,-91.98985
-21.301437,-68.86395
-8.186565,68.903015
62.88616,-19.86395
88.69609,20.593777
5.402219,-85.17044
-112.80982,2.7812297
63.042637,-35.190216
-26.839426,5.153992
-7.712797,-14.887301
-68.79493,-35.99108
-71.87323,-15.946611
-35.196537,37.482243
-7.4466844,8.355182
64.95793,-31.175962
37.812794,6.1818027
-42.195587,49.950653
-99.55724,28.295773
-12.235342,-88.23178
-73.38119,39.741264
-72.980354,-11.00986
-27.002787,-71.16203
36.745674,16.9006
-70.020935,-1.2075568
-72.96671,-23.262194
82.9745,0.082860515
-40.581,67.282196
21.209602,-25.807634
61.62633,31.347422
63.1595,17.119339
14.40607,19.12806
-71.179085,-24.330118
-15.887763,-28.583376
14.423834,20.179304
14.080253,48.599007
-42.295094,63.679047
112.94229,9.93385
63.729565,-31.517363
36.027416,-52.42998
34.550053,71.983246
-112.80982,2.7812297
21.395864,-24.02248
-8.596754,-83.30669
-46.66425,-42.893433
-4.67238,35.331917
-64.274315,6.6175027
-10.402868,42.842327
-6.687394,-87.16477
-19.842531,19.640272
10.231348,57.42714
-45.705994,-40.18179
-14.480727,-31.139704
-8.051048,-3.0451229
-72.38357,-23.583702
-61.728645,27.03405
-13.93146,-19.892824
-19.946655,-68.470695
-112.80982,2.7812297
-70.02887,-34.350105
-42.586536,-38.98656
1.9326328,-86.567795
64.61563,4.282308
-58.98113,-42.61212
-38.83815,-8.388325
-22.169243,5.139433
-1.599244,1.203377
-6.959334,35.0311
11.849947,-70.45961
37.35781,-37.633278
-16.156647,-85.11294
-93.638084,36.41619
-5.5460634,10.63397
-17.637106,-82.26107
-62.572216,30.173046
-24.71374,73.62296
-33.620495,-19.681545
54.272568,-57.877495
-46.094727,53.50572
10.090337,35.681324
-12.896558,-79.94966
-20.713678,-65.6188
-21.095133,7.198896
-7.8847895,26.937998
13.933618,48.800716
-32.68565,33.8781
-99.731255,28.082182
-61.335903,11.545874
13.609276,-60.73053
30.241983,78.44765
-61.5595,26.529053
63.184208,-15.514299
-84.557655,40.592636
-30.071196,32.36696
-20.143469,6.630674
-20.451294,8.595198
-59.351177,-42.502125
-40.49342,67.74741
49.879795,-63.36098
86.2073,6.3109565
-70.51109,-34.299835
-107.349174,-0.53856945
36.24682,26.886269
7.155688,-62.98762
-8.637781,-1.3638273
9.659162,62.560284
39.365208,39.76863
-8.075364,-2.7265866
-26.24367,73.60051
-107.3484,-0.5388505
-8.419018,54.112812
35.570698,-56.66245
11.327728,58.153694
-32.95536,76.56337
-112.80982,2.7812297
37.442253,11.917954
-6.666676,9.657923
39.046036,-61.880512
-4.8533635,-13.019212
-97.99214,30.972958
-14.1046505,63.76891
-29.0207,32.5447
-22.295666,11.05202
42.364952,35.98098
60.94615,-9.428397
-4.015852,16.024946
11.3485,-7.875254
43.81306,53.772293
-9.911186,-7.736793
13.528863,48.024094
-37.362347,45.798573
-19.424288,17.614973
-39.854397,19.142729
60.502796,43.99253
98.82867,-26.369223
60.46765,27.164173
35.77488,-40.140217
13.02965,-56.202175
-59.477505,-44.343914
-18.792078,73.587685
41.444504,66.424774
12.896655,38.82523
93.87544,-30.377552
-47.90433,72.677185
-13.127838,-43.581867
-18.575975,73.96931
-98.2991,32.38359
-35.263596,78.00734
-26.814743,-58.707138
22.732674,1.9812742
-37.94023,34.30217
21.455477,1.9608247
58.60184,35.00439
36.648026,-37.555748
13.482399,8.8625555
40.47773,-20.672016
38.415558,18.903156
-8.705347,70.98342
13.961373,41.120373
-74.834206,40.29926
8.614135,-0.013768696
-112.80982,2.7812297
-37.802795,46.22539
10.203111,67.63933
40.570637,-16.666342
-70.58238,-6.1807365
12.508631,-70.87126
-50.187336,69.88914
-3.0005949,-91.78239
-73.429955,39.54675
37.890484,31.408041
12.907879,-70.53087
53.621227,-57.669655
-102.11503,24.908588
-61.266056,12.141295
7.5616355,-35.962097
27.33598,81.82182
10.132167,-31.435867
38.44178,42.10089
-57.53204,16.66455
-8.399379,-13.299841
-112.469055,3.993567
-8.148296,69.0092
-13.555407,-25.268488
-31.75684,33.835587
-95.05139,34.97437
-9.886312,-90.492195
43.90204,-63.625477
21.985306,-23.201994
-7.7414308,35.5356
-17.685934,78.45036
11.199175,-81.19185
-112.469055,3.993567
-61.39093,19.772749
-49.76977,69.60414
-4.8669825,-1.762806
41.882164,68.37725
-5.121871,-79.001785
-32.501736,-0.33171985
-12.297282,-20.85482
-44.086857,73.23833
-74.40553,-9.30653
-58.047066,-43.220974
-38.782818,-29.14448
16.857143,-16.186834
39.0799,62.79569
-72.19519,-5.843058
-35.142494,-21.287876
-8.175331,64.5767
-89.45313,39.175003
-18.423042,79.487114
47.257187,-62.933136
-79.04318,40.41438
-18.921534,-76.753525
40.964546,-26.682245
9.197551,-37.49617
11.623817,72.828445
34.173546,49.380817
58.212433,-21.119518
38.719124,22.061077
37.06304,-61.112144
-39.161575,70.778366
-68.19479,36.921406
63.361423,-47.010815
4.6539893,-70.18975
-16.67483,-27.927834
81.079216,45.758823
-30.353613,-0.7757146
-14.95898,-26.68793
19.847557,-9.6491165
1.7946235,-91.6946
24.99614,-7.0684013
12.87465,65.871284
-40.648148,38.82149
41.36984,-33.848743
-20.77485,7.7933617
-30.2252,36.323204
27.130764,76.260765
8.880218,66.89898
-8.324211,-26.001026
-67.9615,36.407818
-25.069036,0.7378204
-69.72485,38.841553
91.29103,-30.99973
-2.0697083,32.040775
-112.469055,3.993567
-7.261137,35.175983
4.8683405,-51.594868
-112.469055,3.993567
-41.46226,65.05241
10.284657,35.82892
-24.805279,-71.94911
-22.008402,-77.81722
7.942152,-36.988308
23.48195,-1.7160891
57.5778,32.155098
59.594925,44.6227
-97.33398,32.342854
40.304794,34.808
-6.8040433,39.56567
85.06975,43.61509
67.805626,49.971653
-12.918147,-81.82399
13.225004,50.379574
-105.836525,-0.95014066
11.975446,28.257141
-25.450792,2.6005876
13.872763,-27.425728
-69.14477,38.588997
-14.085058,-20.498148
-26.731884,-72.271225
41.436684,-8.422949
63.717056,-31.630695
22.271301,34.64555
-9.551761,55.909744
-41.54919,38.18342
6.58783,-41.527115
-5.0416822,-76.879166
-30.571585,35.267742
-17.06553,-11.312795
-27.194384,-56.85296
65.543144,8.043177
37.918217,12.558141
-8.455894,-14.39907
-112.469055,3.993567
-16.837353,-87.173935
-32.374443,-19.434267
-38.630642,-28.404367
-23.506388,-46.463947
-27.35129,-62.615715
107.864075,-12.575453
41.40537,3.717145
32.011387,73.03666
60.59927,34.107784
-9.925308,-85.14513
-4.4989886,21.04688
10.181589,35.50348
34.00418,-34.83406
-8.434939,31.661682
-14.558772,-12.954516
-67.871735,-1.407051
-29.214716,-1.5494534
21.19799,-16.19725
-14.942738,-12.76828
-23.197195,-78.73599
-43.336914,-39.43172
-86.34205,38.4926
1.9524229,-91.58856
12.455381,58.22557
-79.07036,40.722054
-22.522936,22.455853
-58.040936,-45.49106
42.333797,-21.99727
-3.4549122,44.65642
9.280065,47.801647
-10.346385,-88.90609
59.603157,43.905792
9.381043,45.994194
-61.093624,17.328306
113.57987,12.8229885
-44.94536,-41.029892
-27.252674,-49.668797
10.0285,-6.580805
-85.13994,40.117355
-107.349174,-0.53856945
-105.836525,-0.95014066
-2.632075,-75.40777
-20.793541,22.32282
-36.38664,38.049225
33.73506,76.6196
62.11478,-19.273691
-37.922295,-7.583636
-69.40173,-35.685932
10.265554,74.15337
10.556384,26.441109
10.810557,46.031208
-13.783585,-20.036469
-37.87437,-33.84973
20.50718,-23.018248
-95.976906,33.964283
-59.37034,17.427404
-24.795752,4.225609
-105.836525,-0.95014066
-43.423615,-39.824516
-42.905205,-40.127426
84.63547,-28.856524
37.69736,4.366121
-60.29747,-44.700794
51.029903,-59.592487
-40.676525,38.34848
31.264473,77.82132
-105.317406,-1.0892533
-64.713524,4.9262037
-41.25617,36.874184
39.04027,7.248151
-44.22632,39.829826
-9.350717,-89.616486
-20.559013,-65.38452
14.6006975,-27.68083
-61.093624,17.328306
-14.539605,-30.90831
-29.093151,-1.7317642
42.888817,4.3206315
36.66881,70.55971
61.25256,-52.885273
41.484447,49.224545
-14.565629,-30.377148
-38.89583,-10.156563
61.84221,-17.086555
-45.435116,57.685284
4.508957,-43.894405
23.158915,-15.5663185
-97.96369,31.119734
81.63907,-24.607885
15.176522,44.83556
20.199638,8.092585
-17.413958,-28.428083
-8.834207,-24.594116
-26.519205,58.040997
11.491007,-67.93944
-45.351273,57.12128
-11.025095,59.582256
-72.43685,-9.324797
8.658179,-0.854967
-61.046017,16.612942
-61.82057,28.80527
61.343147,13.622425
-3.685323,44.98933
43.334427,-5.0247626
-2.9496307,14.717414
-112.08937,3.4091856
38.520344,-34.3797
9.65666,-62.64483
33.800976,75.72551
-60.20146,10.1621275
6.930363,-83.07015
39.147,34.64171
-39.657192,61.133984
20.753698,-23.48326
-74.06219,-17.459656
-83.84701,40.876194
18.00307,-15.85184
-14.170651,-20.385845
84.25987,-2.1722097
-32.76475,-19.935879
23.395418,-17.827658
-20.79522,22.342104
-74.66569,-16.033945
9.08242,-65.93299
38.224876,-31.229456
10.104454,52.11717
-40.242252,67.99013
39.327118,46.294636
-6.8912983,61.72096
-18.12675,46.485134
-112.08937,3.4091856
-13.464779,66.10097
-34.367878,-4.0060616
14.805288,-79.07066
-19.870636,45.247723
-23.338926,-50.11894
-39.757236,21.312792
-33.84289,-23.63292
69.16191,49.604992
61.1325,46.054188
-78.957436,40.906673
-61.2656,27.741653
-8.0999775,64.86103
-14.597536,-20.908564
-28.000843,32.66781
88.65985,27.370779
-38.47156,46.50146
-43.789856,39.640503
37.288715,-41.868095
14.409566,63.191803
-74.34094,-20.185074
-7.294104,39.673702
14.788581,11.592365
11.197689,68.91777
13.302782,78.15136
-5.3922215,-11.943204
61.630608,34.90847
38.650047,-31.786438
-29.236923,-61.034378
-78.46752,40.810944
15.972203,6.175904
-113.36427,2.0410624
-32.191406,-3.429963
87.880516,38.05073
40.78435,24.349874
-113.48575,3.5384736
-3.6662521,46.833405
-74.32039,-17.550152
-33.178055,-26.246529
-72.533714,-20.512987
18.53328,0.06732211
10.055946,1.2339962
-10.352059,-23.40635
-24.689308,-44.504456
-112.469055,3.993567
-26.62537,-58.935738
16.857206,36.751007
-113.48575,3.5384736
-7.51787,-2.712743
89.108086,22.458632
-69.29649,38.770943
13.815623,47.266453
-60.932556,14.580234
100.15074,-25.910828
-35.550953,78.53381
-28.081726,55.542576
34.36604,63.68373
-37.728954,-34.949078
-23.726894,9.630946
-98.85822,29.453876
-61.65793,26.419073
-8.297524,69.25179
-3.463955,48.874832
-4.420757,20.587803
-10.402302,64.894135
59.148468,34.621933
38.2014,60.11182
23.01998,-15.18913
71.36347,49.31479
-18.744276,73.32534
-22.357683,5.7832766
-32.910748,-1.4508696
-3.4907038,30.472147
-41.014122,66.269844
-20.6469,8.076268
-85.022896,40.328358
21.58996,-24.34208
-43.736996,-39.994488
107.219604,-13.730757
-23.946047,6.4498944
-33.809948,77.24774
-5.2427487,13.408621
18.230026,62.340588
-37.471954,-33.794506
-74.04064,-20.776485
-39.51768,70.29162
-32.98532,-20.155415
-74.3242,-23.861298
26.007416,76.31349
-33.362564,78.00605
-3.4652119,48.851257
-35.199425,-28.390516
-113.48575,3.5384736
-25.203922,10.054912
14.361399,41.068947
60.978947,-40.426807
-39.571117,70.10055
-71.40865,-30.47331
12.526164,16.394047
14.8993435,19.027039
14.714547,13.035714
-22.656315,76.30401
-15.108511,-29.81393
-114.24256,3.2937555
37.034782,13.288192
-96.81618,33.03931
-3.2945602,2.5942698
-61.023148,12.368351
39.31713,-62.23928
-72.29274,39.88655
-35.480038,-21.535725
-74.5114,-13.4058895
-71.11492,-1.7013035
-70.1015,-33.396683
-0.62120813,-90.86932
-16.892784,-86.60485
-20.515053,-51.917553
-73.95468,39.972984
-72.60009,-15.095527
-36.86349,-6.5709577
48.55644,-65.01313
-107.34933,-0.53853077
-17.140135,-87.467545
61.586304,-29.335838
33.29063,-60.46232
-62.14686,28.767582
-32.42711,34.365116
-2.3348575,-91.573006
-27.420513,58.007786
-20.098127,17.728691
-14.264335,-52.317623
-70.5807,-0.865257
-71.34886,-2.0767856
79.659294,-16.53931
110.39733,-5.3386245
-27.001526,-56.908245
-7.827107,35.66275
-2.3383348,-9.511469
37.920155,-25.467701
-28.85707,52.818943
40.426506,24.655094
-68.686066,0.06916387
-59.580173,11.469926
9.519855,37.555027
-113.48575,3.5384736
-64.86533,3.5033069
-0.4182685,-77.20643
45.27957,9.328181
67.27,49.8277
-38.28716,-10.626636
-35.362434,-27.84707
6.107936,-64.49245
-72.40366,-32.699333
19.184202,-14.9560795
-18.072554,79.030266
-7.8750663,-14.632524
-113.48575,3.5384736
11.883157,11.664038
-98.425285,30.435781
-72.80465,40.4646
58.923164,-59.815765
20.93834,-17.747654
-75.18494,-17.058638
-1.4724442,-91.31815
9.208623,-4.6689053
-31.892706,73.0547
37.896103,-29.082968
-25.651524,2.3809705
-44.94252,73.51138
36.404156,16.101057
28.024536,81.583176
-75.600426,-17.258694
39.048153,7.2847795
18.567123,-10.121777
20.948751,0.37454396
-64.35208,6.2113247
10.277443,50.27813
39.759502,43.728146
-17.041416,-86.30717
11.59221,58.104595
24.6565,-7.3872614
-25.105297,-56.233727
-37.148106,37.737976
-38.83468,71.28744
-5.3275156,-5.459724
7.151902,-43.865013
14.583022,8.100452
11.46425,32.78832
-8.168519,67.21883
2.2099323,-33.36289
-73.14055,39.649723
-34.98976,-28.878199
-71.10659,-24.159918
-15.432898,-32.959652
12.539455,27.37938
-43.114555,61.488304
-20.808691,11.847351
-29.4442,33.26309
-18.175097,71.51773
81.86933,44.432613
5.6899095,-39.138947
-64.2359,7.112628
63.479446,-24.166487
19.93911,38.150604
19.204077,-25.002388
-25.253561,-71.91284
-74.63017,-15.713085
-22.844149,20.712502
-7.8286014,68.63619
11.724701,-67.90978
58.378254,-60.945667
-26.764248,-59.055725
13.467553,-56.37559
-93.62115,36.421604
86.67244,-30.454908
-113.48575,3.5384736
-2.5018551,31.326262
-32.244644,-1.1131749
21.3078,1.1662064
-107.34933,-0.53853077
-10.263025,-9.557043
-60.648575,-41.524864
-25.08084,0.59996057
42.027378,68.47439
14.110297,-71.02066
15.76428,26.377308
-8.789376,71.48646
38.832726,-16.113754
-64.44571,5.7509193
-113.48575,3.5384736
-74.95737,-23.490454
-72.710144,40.153137
-20.121092,8.876474
22.192253,77.42352
32.54129,73.14322
-28.848415,-61.098045
-2.4631948,17.222965
25.216356,-14.27265
-113.29417,4.571081
-113.48575,3.5384736
38.930904,-60.72715
9.959017,-81.23339
107.36754,-13.613824
-34.51725,-6.437021
-46.129112,52.585636
61.51651,-18.001463
-11.318701,64.603615
13.296148,-71.66275
11.632364,33.67506
-102.11503,24.908588
-113.29417,4.571081
-98.88899,29.504467
-12.140482,-21.516235
7.7200475,-77.30634
-43.328766,63.814507
-34.675064,-6.354173
-36.588467,-5.0893693
10.069694,73.53037
-95.271545,34.71463
13.327009,-83.15077
11.583261,26.34329
63.583202,-46.876404
-32.948833,-25.306242
-46.513264,48.65305
-68.57995,36.85909
-113.29417,4.571081
-19.195791,44.991135
-107.3484,-0.53885466
17.004093,-25.01729
-37.642128,-34.813015
17.797924,59.693153
13.042411,79.43632
-29.370306,1.7443699
-47.482822,-41.366154
-113.29417,4.571081
-40.667797,65.89001
84.15689,43.799267
7.3922267,-35.99275
-6.6996613,34.907173
86.81778,39.452953
-36.745907,38.607304
-71.91204,-3.0922031
64.10448,-38.296124
-28.081106,33.610916
37.259377,40.853344
-71.49996,-2.3297703
-72.09437,-24.01561
-26.695911,-58.667175
19.69532,-7.837199
10.304049,-14.022361
87.12983,14.325634
-62.097622,27.819868
-68.39912,0.48125163
-71.19164,-6.1613054
60.73364,-20.58353
-59.399033,16.968468
37.741127,-28.718739
-59.796356,11.08412
-23.897526,72.35949
-59.966343,8.324973
-3.9451501,13.349
108.962326,-10.196751
14.640506,35.2685
-61.72868,27.034035
12.795442,9.513946
-8.405093,-12.855374
-57.60976,-46.468967
-22.15503,76.625755
-69.2564,1.1959099
-29.263687,-61.60876
40.86989,-14.357514
-20.462547,-11.388117
-62.146297,28.767277
33.729023,-46.366802
-22.997046,5.5776844
-75.304054,-23.139755
11.756908,76.033714
-86.53854,40.13197
39.560528,65.388084
-64.579636,3.805209
39.577175,42.46972
63.285347,-20.12415
-5.1785955,11.359482
15.6727495,52.827194
-38.56152,-31.668507
89.219574,26.226467
-18.839481,-77.54936
-60.061943,19.204273
-113.29417,4.571081
-38.35998,33.202126
-37.4424,-5.0697107
-72.02091,39.433304
-69.37501,-33.89388
15.582811,27.407616
-34.673126,37.670822
-95.27241,34.714756
-64.09332,6.9098277
-21.662659,-50.689873
-42.6457,50.31119
-34.411076,-3.9462101
35.700146,27.44767
-21.950138,21.363745
-36.822838,-7.5682874
5.0313115,-28.17675
43.049282,-12.321037
18.01727,-13.077589
-2.5891604,-2.1014
-6.9805765,35.559837
19.893389,-21.342876
-26.762358,7.150819
-17.916382,70.96358
-11.671218,-45.308743
39.27424,-62.577297
-15.541037,-30.726595
-14.966613,-12.767598
43.735294,54.91297
-26.912798,-70.98497
