TSNE1,TSNE2,Churn,Cluster
-71.798706,-32.466217,0,1
-29.073532,75.616104,1,2
-30.288408,76.6258,1,2
-72.313385,-25.011663,0,0
-69.30204,-15.230487,0,0
-72.313385,-25.011663,0,0
-68.59993,-37.878506,0,1
-69.31543,-36.678936,0,1
-30.288408,76.6258,1,2
-67.01633,-12.348811,0,0
-73.276344,-33.727512,0,1
-67.4873,-41.514015,0,1
-67.01633,-12.348811,0,0
-71.73989,-23.162119,0,0
-70.0617,-18.678999,0,0
-72.56737,-26.854092,0,0
-70.38621,-36.234898,0,1
-65.750114,-43.7956,0,1
-18.723982,-116.15472,0,1
-71.73989,-23.162119,0,0
-65.83644,-43.570377,0,1
-69.14617,-38.959877,0,1
-68.26926,-12.629943,0,0
-72.49494,-29.986067,0,1
-71.798706,-32.466217,0,1
-68.26926,-12.629943,0,0
-18.85545,-91.11138,0,1
-70.649605,-17.798054,0,0
-70.0617,-18.678999,0,0
-29.073532,75.616104,1,2
-67.4873,-41.514015,0,1
-66.87291,-42.47809,0,1
-71.798706,-32.466217,0,1
-67.95989,-38.98028,0,1
-72.45827,-31.344246,0,1
-72.56737,-26.854092,0,0
-71.73989,-23.162119,0,0
-71.73989,-23.162119,0,0
-70.0617,-18.678999,0,0
-70.38621,-36.234898,0,1
-69.30204,-15.230487,0,0
-72.45827,-31.344246,0,1
-29.073532,75.616104,1,2
-72.6187,-28.518156,0,1
-72.49494,-29.986067,0,1
-46.7896,-92.37869,0,1
-69.30204,-15.230487,0,0
-67.01633,-12.348811,0,0
-69.85053,-37.732754,0,1
-30.288408,76.6258,1,2
-71.73989,-23.162119,0,0
-66.35331,-42.42287,0,1
-71.73989,-23.162119,0,0
-72.6187,-28.518156,0,1
-69.30204,-15.230487,0,0
-67.7008,-13.508533,0,0
-69.85053,-37.732754,0,1
-30.288408,76.6258,1,2
-72.6187,-28.518156,0,1
-72.45827,-31.344246,0,1
-30.288408,76.6258,1,2
-72.45827,-31.344246,0,1
-68.30017,-15.670845,0,0
-68.30017,-15.670845,0,0
-69.07572,-18.397768,0,0
-66.68069,-41.396935,0,1
-72.45827,-31.344246,0,1
-69.14617,-38.959877,0,1
-30.288408,76.6258,1,2
-69.07572,-18.397768,0,0
-68.59993,-37.878506,0,1
-72.6187,-28.518156,0,1
-67.95989,-38.98028,0,1
-29.073532,75.616104,1,2
-71.73989,-23.162119,0,0
-67.67739,-39.955643,0,1
-66.19031,-43.020092,0,1
-68.11317,-40.747856,0,1
-71.73989,-23.162119,0,0
-67.67739,-39.955643,0,1
-71.798706,-32.466217,0,1
-70.82412,-21.046465,0,0
-71.28967,-20.859745,0,0
-72.45827,-31.344246,0,1
-69.14617,-38.959877,0,1
-70.38621,-36.234898,0,1
-69.31543,-36.678936,0,1
-68.30017,-15.670845,0,0
-30.288408,76.6258,1,2
-66.82271,-41.871876,0,1
-71.6374,-33.55044,0,1
-72.313385,-25.011663,0,0
-68.62295,-40.011486,0,1
-72.84876,-23.076506,0,0
-69.31543,-36.678936,0,1
-29.073532,75.616104,1,2
-29.073532,75.616104,1,2
-72.56737,-26.854092,0,0
-86.774826,-29.799171,0,0
-25.609257,-122.03444,0,1
-40.811775,-90.50336,0,1
-20.941908,-92.90332,0,1
-35.965504,-97.809,0,1
-1.6153654,-121.04167,0,1
-122.06733,62.48263,0,0
-51.81268,-58.48453,0,1
-83.05473,29.458061,0,0
-135.9611,37.128433,0,0
-89.67293,-38.132427,0,1
-22.27389,-93.146996,0,1
-18.244734,-109.74816,0,1
-104.0711,-55.160267,0,1
12.576897,-110.36427,0,1
10.043697,-110.254524,0,1
17.122524,-108.17772,0,1
-135.87985,-27.779442,0,0
-59.502594,-100.70384,0,1
-135.9611,37.128433,0,0
-105.048485,-89.12282,0,1
-58.47184,-101.88241,0,1
-10.636943,-114.94328,0,1
-74.15521,-80.88482,0,1
-74.15521,-80.88482,0,1
-115.336006,-41.59032,0,0
-94.21515,-71.55563,0,1
-89.26677,-106.238884,0,1
-122.06733,62.48263,0,0
-87.607994,18.068523,0,0
-102.53029,-6.6355495,0,0
-89.67293,-38.132427,0,1
-122.51312,-63.750175,0,1
-45.92344,-62.51561,0,1
-83.05473,29.458061,0,0
-135.9611,37.128433,0,0
-8.6232395,-119.52027,0,1
-135.87985,-27.779442,0,0
-141.57343,4.954497,0,0
-74.15521,-80.88482,0,1
-63.349472,-57.796448,0,1
-122.06733,62.48263,0,0
-48.978146,-82.8658,0,1
-102.227234,23.968063,0,0
-19.210464,-121.29009,0,1
-97.27968,-19.582436,0,0
-29.620853,-106.15995,0,1
-67.97474,-58.2283,0,1
-102.227234,23.968063,0,0
-21.812698,-110.48199,0,1
-97.39462,-28.588554,0,0
-102.53029,-6.6355495,0,0
-52.436745,-58.54046,0,1
-48.32726,-73.39558,0,1
-102.227234,23.968063,0,0
-104.0711,-55.160267,0,1
-36.251125,-95.51095,0,1
-88.94288,-48.573864,0,1
-97.27968,-19.582436,0,0
-63.349472,-57.796448,0,1
-94.21515,-71.55563,0,1
-55.55317,-58.205135,0,1
-89.26677,-106.238884,0,1
-93.94442,8.576988,0,0
-39.223682,-82.333626,0,1
-28.383469,-93.300354,0,1
-42.141518,-87.22916,0,1
-85.026405,-16.762077,0,0
-122.06733,62.48263,0,0
-135.87985,-27.779442,0,0
-122.06733,62.48263,0,0
-88.68221,-43.163445,0,1
-135.9611,37.128433,0,0
-102.227234,23.968063,0,0
-47.092747,-83.387146,0,1
-72.97258,-83.74553,0,1
-86.226585,-4.2117543,0,0
-27.645355,90.2419,1,2
-26.77955,-119.24105,0,1
-102.227234,23.968063,0,0
-59.8268,-58.358955,0,1
-0.9821288,-120.43367,0,1
-97.39462,-28.588554,0,0
-135.87985,-27.779442,0,0
-102.53029,-6.6355495,0,0
-122.51312,-63.750175,0,1
-102.53029,-6.6355495,0,0
-27.645355,90.2419,1,2
-62.513756,-96.21319,0,1
-46.015656,-84.23036,0,1
-135.87985,-27.779442,0,0
-122.06733,62.48263,0,0
-7.5239806,-118.648186,0,1
-85.026405,-16.762077,0,0
-135.87985,-27.779442,0,0
-52.440514,-59.353123,0,1
-135.9611,37.128433,0,0
0.2651524,-115.91553,0,1
-29.772722,-105.74132,0,1
-122.51312,-63.750175,0,1
-83.05473,29.458061,0,0
-115.336006,-41.59032,0,0
-27.645355,90.2419,1,2
-45.352524,-62.683533,0,1
-21.911564,-93.73616,0,1
-141.57343,4.954497,0,0
-40.811775,-90.50336,0,1
-102.227234,23.968063,0,0
-46.91739,-74.140175,0,1
-27.645355,90.2419,1,2
-5.8758044,-118.14715,0,1
1.4537975,-115.51224,0,1
-49.17182,-58.97046,0,1
-77.70846,-54.824432,0,1
-27.645355,90.2419,1,2
-135.9611,37.128433,0,0
-89.67293,-38.132427,0,1
-102.53029,-6.6355495,0,0
-122.06733,62.48263,0,0
-45.880165,-63.340412,0,1
-141.57343,4.954497,0,0
-122.06733,62.48263,0,0
-122.06733,62.48263,0,0
-122.06733,62.48263,0,0
-83.05473,29.458061,0,0
-67.06324,-57.622696,0,1
-63.349472,-57.796448,0,1
-135.9611,37.128433,0,0
-83.05473,29.458061,0,0
-67.025566,-56.91765,0,1
-47.727085,-81.61598,0,1
-36.98738,-95.03308,0,1
-122.06733,62.48263,0,0
-135.87985,-27.779442,0,0
-94.21515,-71.55563,0,1
-45.27773,-85.80534,0,1
-26.729294,-121.52852,0,1
-135.87985,-27.779442,0,0
-93.94442,8.576988,0,0
-46.539806,-107.97205,0,1
-27.769392,-93.92887,0,1
-115.336006,-41.59032,0,0
-75.24331,-77.24507,0,1
-102.53029,-6.6355495,0,0
-89.26677,-106.238884,0,1
-71.01589,-86.30413,0,1
-27.645355,90.2419,1,2
-43.3013,-106.89621,0,1
-82.79237,-53.254936,0,1
-30.948084,-94.13684,0,1
-27.139162,-92.91099,0,1
-102.53029,-6.6355495,0,0
-102.227234,23.968063,0,0
-42.138344,-87.24393,0,1
-141.57343,4.954497,0,0
-59.91755,-57.534847,0,1
-94.21515,-71.55563,0,1
-27.645355,90.2419,1,2
-115.336006,-41.59032,0,0
-84.57913,-54.567284,0,1
-27.645355,90.2419,1,2
-74.15521,-80.88482,0,1
-83.05473,29.458061,0,0
-47.529083,-83.55603,0,1
-52.116676,-106.682175,0,1
-105.048485,-89.12282,0,1
-60.083603,-99.15102,0,1
-93.94442,8.576988,0,0
-18.556295,-119.28398,0,1
-32.930016,-94.36982,0,1
-59.8268,-58.358955,0,1
-26.262768,-118.89146,0,1
-135.9611,37.128433,0,0
-88.94288,-48.573864,0,1
-43.250454,-87.69802,0,1
-27.645355,90.2419,1,2
-83.74507,-53.908455,0,1
-83.05473,29.458061,0,0
-135.87985,-27.779442,0,0
-41.186268,-87.974,0,1
-93.94442,8.576988,0,0
-10.562939,-114.96769,0,1
-105.048485,-89.12282,0,1
-21.571476,-98.54558,0,1
-94.21515,-71.55563,0,1
-63.461678,-58.868282,0,1
-47.434708,-75.61303,0,1
-135.87985,-27.779442,0,0
-71.01589,-86.30413,0,1
-22.609587,-93.210304,0,1
-122.51312,-63.750175,0,1
-115.336006,-41.59032,0,0
-85.026405,-16.762077,0,0
-67.46808,-56.38854,0,1
-82.36131,-54.14824,0,1
-20.414368,-119.60239,0,1
-122.06733,62.48263,0,0
-135.9611,37.128433,0,0
-88.68221,-43.163445,0,1
-27.645355,90.2419,1,2
-27.194244,-96.25252,0,1
-122.06733,62.48263,0,0
-94.21515,-71.55563,0,1
-141.57343,4.954497,0,0
-83.05473,29.458061,0,0
-115.336006,-41.59032,0,0
-20.540625,-110.35844,0,1
-94.21515,-71.55563,0,1
-102.53029,-6.6355495,0,0
-47.70742,-61.783234,0,1
-135.9611,37.128433,0,0
-40.959644,-89.285065,0,1
-68.002975,-90.77383,0,1
-23.596395,-93.750084,0,1
-27.645355,90.2419,1,2
-26.768778,-114.76977,0,1
7.907268,-111.89084,0,1
-93.94442,8.576988,0,0
-52.55604,-105.73957,0,1
-42.64559,-87.688225,0,1
-59.502594,-100.70384,0,1
-47.269302,-73.69258,0,1
-75.54208,-79.36507,0,1
-122.06733,62.48263,0,0
-24.289923,-111.48287,0,1
-86.20966,-15.93959,0,0
-104.0711,-55.160267,0,1
-46.571434,-74.049774,0,1
-61.136448,-97.76929,0,1
-135.87985,-27.779442,0,0
-104.0711,-55.160267,0,1
-63.461678,-58.868282,0,1
-22.88673,-121.94537,0,1
-135.9611,37.128433,0,0
-122.06733,62.48263,0,0
-37.894978,-94.093376,0,1
-27.645355,90.2419,1,2
-45.783127,-68.81763,0,1
-102.227234,23.968063,0,0
26.070793,-75.75527,0,1
-135.87985,-27.779442,0,0
-122.06733,62.48263,0,0
-122.51312,-63.750175,0,1
-71.93343,-55.538677,0,1
-27.645355,90.2419,1,2
-102.53029,-6.6355495,0,0
-48.385098,-76.04305,0,1
-87.607994,18.068523,0,0
-68.002975,-90.77383,0,1
-115.336006,-41.59032,0,0
-60.92046,-99.71489,0,1
-87.61389,-30.15252,0,0
-83.05473,29.458061,0,0
-88.68221,-43.163445,0,1
-104.0711,-55.160267,0,1
-55.55317,-58.205135,0,1
-87.61389,-30.15252,0,0
-105.048485,-89.12282,0,1
-59.502594,-100.70384,0,1
-122.51312,-63.750175,0,1
-135.9611,37.128433,0,0
-71.93343,-55.538677,0,1
-74.15521,-80.88482,0,1
-23.55953,-109.84239,0,1
-105.048485,-89.12282,0,1
-135.87985,-27.779442,0,0
-68.002975,-90.77383,0,1
-87.61389,-30.15252,0,0
-135.87985,-27.779442,0,0
-49.65055,-107.19685,0,1
-135.87985,-27.779442,0,0
1.9188017,-113.66439,0,1
-27.645355,90.2419,1,2
-89.26677,-106.238884,0,1
-59.502594,-100.70384,0,1
-102.53029,-6.6355495,0,0
-101.58218,21.841738,0,0
-141.57343,4.954497,0,0
-96.204,-28.025232,0,0
-63.461678,-58.868282,0,1
-89.44063,-37.181026,0,1
-86.341675,-14.679484,0,0
-122.06733,62.48263,0,0
-50.223255,-59.443516,0,1
-27.691816,-118.32906,0,1
-102.227234,23.968063,0,0
-135.9611,37.128433,0,0
-105.048485,-89.12282,0,1
-59.8268,-58.358955,0,1
-69.40425,-88.90933,0,1
-40.787674,-107.45975,0,1
-29.153252,-105.14913,0,1
-63.461678,-58.868282,0,1
-27.645355,90.2419,1,2
-46.753784,-72.98173,0,1
-102.53029,-6.6355495,0,0
-88.71371,-36.961605,0,1
-74.15521,-80.88482,0,1
-105.048485,-89.12282,0,1
-115.336006,-41.59032,0,0
-115.336006,-41.59032,0,0
-141.57343,4.954497,0,0
-25.21646,-119.88854,0,1
-94.21515,-71.55563,0,1
-27.645355,90.2419,1,2
-104.0711,-55.160267,0,1
-141.57343,4.954497,0,0
-73.045975,-82.84974,0,1
-104.0711,-55.160267,0,1
-87.343445,-48.91597,0,1
-135.87985,-27.779442,0,0
-115.336006,-41.59032,0,0
-77.90445,-55.888454,0,1
-93.94442,8.576988,0,0
-87.607994,18.068523,0,0
-20.054485,-105.51054,0,1
-26.737238,-103.44252,0,1
-68.79372,-59.45575,0,1
-68.854774,-91.45085,0,1
-105.048485,-89.12282,0,1
-63.461678,-58.868282,0,1
-48.098785,-84.06167,0,1
-94.21515,-71.55563,0,1
32.643726,-81.06906,0,1
-46.29881,-73.66059,0,1
-28.410423,-118.963936,0,1
-88.556984,-38.19026,0,1
-27.645355,90.2419,1,2
-86.226585,-4.2117543,0,0
-47.008213,-85.11711,0,1
-141.57343,4.954497,0,0
-87.607994,18.068523,0,0
-122.06733,62.48263,0,0
-76.94987,-55.140083,0,1
-77.90445,-55.888454,0,1
-141.57343,4.954497,0,0
-67.46808,-56.38854,0,1
-102.227234,23.968063,0,0
-89.78137,-43.26961,0,1
-94.21515,-71.55563,0,1
-101.58218,21.841738,0,0
-135.87985,-27.779442,0,0
-141.57343,4.954497,0,0
-48.81826,-75.27313,0,1
-27.645355,90.2419,1,2
-122.51312,-63.750175,0,1
-115.336006,-41.59032,0,0
-59.8268,-58.358955,0,1
-122.06733,62.48263,0,0
-94.21515,-71.55563,0,1
-122.51312,-63.750175,0,1
-122.51312,-63.750175,0,1
-58.837288,-57.36044,0,1
-58.47184,-101.88241,0,1
-88.68221,-43.163445,0,1
-21.476805,-111.62071,0,1
-57.52918,-102.87954,0,1
-135.9611,37.128433,0,0
-66.334785,-91.942635,0,1
-55.007618,-105.0644,0,1
-135.9611,37.128433,0,0
-87.94054,-48.041462,0,1
-102.227234,23.968063,0,0
-28.43339,-92.523476,0,1
-87.607994,18.068523,0,0
-83.05473,29.458061,0,0
-44.301353,-107.16353,0,1
-44.52418,-66.54834,0,1
-94.21515,-71.55563,0,1
-48.05922,-81.54142,0,1
-48.94214,-81.84356,0,1
-89.26677,-106.238884,0,1
-135.9611,37.128433,0,0
-135.9611,37.128433,0,0
-26.012703,-93.55053,0,1
-48.81826,-75.27313,0,1
-135.87985,-27.779442,0,0
-84.92169,-14.950695,0,0
-135.9611,37.128433,0,0
-105.048485,-89.12282,0,1
-122.06733,62.48263,0,0
-94.21515,-71.55563,0,1
-94.21515,-71.55563,0,1
-83.05473,29.458061,0,0
-47.269302,-73.69258,0,1
-20.500149,-93.62304,0,1
-135.87985,-27.779442,0,0
-122.06733,62.48263,0,0
-59.224693,-57.707157,0,1
-58.47184,-101.88241,0,1
-135.87985,-27.779442,0,0
-77.90445,-55.888454,0,1
-46.97673,-107.38775,0,1
-94.21515,-71.55563,0,1
-82.79237,-53.254936,0,1
-122.06733,62.48263,0,0
-86.226585,-4.2117543,0,0
-28.425684,-107.00514,0,1
-45.444656,-63.141586,0,1
-86.324554,-2.872014,0,0
-27.645355,90.2419,1,2
-88.74931,-30.305676,0,0
-72.39492,-82.60885,0,1
-46.728928,-63.133533,0,1
-68.3912,-56.50784,0,1
-27.645355,90.2419,1,2
-59.431465,-57.35293,0,1
-87.607994,18.068523,0,0
-105.048485,-89.12282,0,1
-31.239727,-93.356384,0,1
-23.65215,-97.688034,0,1
-104.0711,-55.160267,0,1
-8.361549,-119.14935,0,1
-83.05473,29.458061,0,0
-141.57343,4.954497,0,0
-48.01904,-73.59156,0,1
-135.9611,37.128433,0,0
-135.9611,37.128433,0,0
-1.6641188,-114.52404,0,1
-28.153475,-105.31359,0,1
30.51104,-76.81956,0,1
-27.26345,-107.04904,0,1
-39.023483,-80.48244,0,1
-12.019754,-120.68784,0,1
-87.607994,18.068523,0,0
-83.66033,-16.090132,0,0
-67.97474,-58.2283,0,1
-63.349472,-57.796448,0,1
-21.501278,-93.44049,0,1
-46.219936,-63.475697,0,1
-19.519257,-119.41212,0,1
-104.0711,-55.160267,0,1
-122.51312,-63.750175,0,1
-102.227234,23.968063,0,0
-84.92169,-14.950695,0,0
-135.9611,37.128433,0,0
-60.083603,-99.15102,0,1
-83.66033,-16.090132,0,0
-37.763626,-95.0711,0,1
-24.046524,-109.608536,0,1
-89.26677,-106.238884,0,1
-47.4029,-81.960884,0,1
-39.687244,-77.00814,0,1
-94.21515,-71.55563,0,1
-44.998333,-64.587425,0,1
-141.57343,4.954497,0,0
1.5086558,-116.583786,0,1
-27.645355,90.2419,1,2
-135.87985,-27.779442,0,0
-82.36131,-54.14824,0,1
-39.52507,-84.25898,0,1
-102.227234,23.968063,0,0
-85.026405,-16.762077,0,0
-72.73131,-54.885353,0,1
-102.53029,-6.6355495,0,0
-135.87985,-27.779442,0,0
-2.5140688,-120.02663,0,1
-61.336567,-97.35523,0,1
-25.167707,-93.51009,0,1
-122.06733,62.48263,0,0
-122.06733,62.48263,0,0
-16.230146,-116.06698,0,1
-39.4558,-92.19222,0,1
-48.30465,-80.28138,0,1
-82.858574,-54.981445,0,1
-93.94442,8.576988,0,0
-89.26677,-106.238884,0,1
-27.645355,90.2419,1,2
-102.227234,23.968063,0,0
-86.324554,-2.872014,0,0
-66.97722,-92.47694,0,1
-122.06733,62.48263,0,0
-83.05473,29.458061,0,0
-28.220352,-117.21341,0,1
-86.324554,-2.872014,0,0
-87.61389,-30.15252,0,0
-68.002975,-90.77383,0,1
-88.68221,-43.163445,0,1
-27.645355,90.2419,1,2
-122.06733,62.48263,0,0
-88.68221,-43.163445,0,1
-97.27968,-19.582436,0,0
-86.20966,-15.93959,0,0
-18.796618,-120.17946,0,1
-102.53029,-6.6355495,0,0
-102.53029,-6.6355495,0,0
-61.341423,-98.10759,0,1
-86.324554,-2.872014,0,0
-115.336006,-41.59032,0,0
-105.048485,-89.12282,0,1
-34.941757,-99.0363,0,1
-35.58374,-94.774414,0,1
-122.51312,-63.750175,0,1
-83.05473,29.458061,0,0
-83.05473,29.458061,0,0
-122.06733,62.48263,0,0
-135.87985,-27.779442,0,0
-41.60251,-88.26337,0,1
-141.57343,4.954497,0,0
-72.73131,-54.885353,0,1
-46.44112,-62.830177,0,1
-82.36131,-54.14824,0,1
-27.799639,-120.64147,0,1
5.321432,-115.802216,0,1
-19.042765,-93.012184,0,1
-22.10148,-110.90273,0,1
-39.795803,-92.36383,0,1
-72.97258,-83.74553,0,1
-27.645355,90.2419,1,2
-82.858574,-54.981445,0,1
-18.986048,-118.26397,0,1
-122.51312,-63.750175,0,1
-24.10257,-96.82777,0,1
-93.94442,8.576988,0,0
-105.048485,-89.12282,0,1
-47.097046,-61.021572,0,1
-63.264942,-96.88729,0,1
-94.21515,-71.55563,0,1
-48.978146,-82.8658,0,1
-93.94442,8.576988,0,0
-94.21515,-71.55563,0,1
-94.21515,-71.55563,0,1
-135.9611,37.128433,0,0
-87.61389,-30.15252,0,0
-104.0711,-55.160267,0,1
-48.66107,-78.08867,0,1
-141.57343,4.954497,0,0
-74.5862,-77.21856,0,1
-94.21515,-71.55563,0,1
-26.200756,-97.36203,0,1
-115.336006,-41.59032,0,0
-27.645355,90.2419,1,2
-97.39462,-28.588554,0,0
-104.0711,-55.160267,0,1
-27.645355,90.2419,1,2
-122.51312,-63.750175,0,1
-102.53029,-6.6355495,0,0
-82.79237,-53.254936,0,1
-97.39462,-28.588554,0,0
-89.26677,-106.238884,0,1
-101.58218,21.841738,0,0
-47.097046,-61.021572,0,1
-24.858023,-97.231255,0,1
-135.9611,37.128433,0,0
-29.120134,-106.22182,0,1
-62.513756,-96.21319,0,1
-41.60251,-88.26337,0,1
-28.555101,-96.10146,0,1
-44.963814,-68.974365,0,1
-48.242443,-77.66958,0,1
-135.9611,37.128433,0,0
-97.39462,-28.588554,0,0
-102.227234,23.968063,0,0
-49.164646,-59.598343,0,1
-94.21515,-71.55563,0,1
-115.336006,-41.59032,0,0
-105.048485,-89.12282,0,1
-39.29992,-83.1905,0,1
-47.353577,-72.658104,0,1
0.27402043,-117.76829,0,1
-87.58775,-29.03156,0,0
-63.952183,-95.29778,0,1
-57.52918,-102.87954,0,1
-10.104806,-120.053825,0,1
-94.21515,-71.55563,0,1
-11.207713,-114.77951,0,1
-104.0711,-55.160267,0,1
-2.6430268,-120.83395,0,1
-67.39784,-58.066982,0,1
-104.0711,-55.160267,0,1
-27.645355,90.2419,1,2
-87.607994,18.068523,0,0
-141.57343,4.954497,0,0
-104.0711,-55.160267,0,1
-88.74931,-30.305676,0,0
-97.27968,-19.582436,0,0
-18.965036,-92.228294,0,1
-40.291904,-91.41086,0,1
-87.607994,18.068523,0,0
-23.224918,-94.64027,0,1
-49.65055,-107.19685,0,1
-87.58775,-29.03156,0,0
-105.048485,-89.12282,0,1
-24.040552,-98.57107,0,1
-63.461678,-58.868282,0,1
-25.79805,-120.610535,0,1
-102.227234,23.968063,0,0
-74.15521,-80.88482,0,1
-49.30942,-108.11837,0,1
-20.71007,-120.737076,0,1
-105.048485,-89.12282,0,1
-115.336006,-41.59032,0,0
-122.51312,-63.750175,0,1
-85.026405,-16.762077,0,0
-48.94214,-81.84356,0,1
-135.9611,37.128433,0,0
-105.048485,-89.12282,0,1
-105.048485,-89.12282,0,1
-72.281166,-56.268566,0,1
-71.01589,-86.30413,0,1
-83.66033,-16.090132,0,0
-85.026405,-16.762077,0,0
-26.773615,-102.53443,0,1
-83.05473,29.458061,0,0
-135.9611,37.128433,0,0
33.228024,-82.466354,0,1
-75.54208,-79.36507,0,1
-71.89004,-83.38857,0,1
-2.2037437,-120.64516,0,1
-135.87985,-27.779442,0,0
-122.06733,62.48263,0,0
-135.9611,37.128433,0,0
0.41386458,-116.34982,0,1
-115.336006,-41.59032,0,0
-71.89004,-83.38857,0,1
-45.517292,-107.202095,0,1
-26.03351,-108.57186,0,1
-115.336006,-41.59032,0,0
-122.51312,-63.750175,0,1
-14.684173,-120.7552,0,1
-141.57343,4.954497,0,0
-53.862164,-104.98722,0,1
-74.15521,-80.88482,0,1
-94.21515,-71.55563,0,1
-87.94054,-48.041462,0,1
-135.9611,37.128433,0,0
-122.51312,-63.750175,0,1
-93.94442,8.576988,0,0
-135.9611,37.128433,0,0
-94.21515,-71.55563,0,1
-135.87985,-27.779442,0,0
-40.959644,-89.285065,0,1
-49.12553,-59.41222,0,1
-105.048485,-89.12282,0,1
-19.824438,-106.685265,0,1
-83.05473,29.458061,0,0
-47.46244,-75.99781,0,1
-141.57343,4.954497,0,0
-141.57343,4.954497,0,0
-60.92046,-99.71489,0,1
-45.636436,-71.60529,0,1
-63.264942,-96.88729,0,1
-86.324554,-2.872014,0,0
-39.63277,-79.01644,0,1
-59.112617,-59.376926,0,1
-135.9611,37.128433,0,0
-89.44063,-37.181026,0,1
-122.51312,-63.750175,0,1
-30.826124,-94.66443,0,1
-52.693314,-58.03659,0,1
-44.796688,-65.16752,0,1
-49.710266,-109.40074,0,1
-87.58775,-29.03156,0,0
-94.21515,-71.55563,0,1
-24.753988,-110.30618,0,1
-104.0711,-55.160267,0,1
-104.0711,-55.160267,0,1
-87.343445,-48.91597,0,1
-122.06733,62.48263,0,0
-26.579914,-105.24285,0,1
-44.504208,-107.16547,0,1
-48.026997,-82.405594,0,1
-135.9611,37.128433,0,0
-27.076677,-119.3868,0,1
-13.319378,-114.25231,0,1
-50.223255,-59.443516,0,1
-65.163315,-94.062416,0,1
-87.0533,-30.945953,0,0
-94.21515,-71.55563,0,1
6.4508715,-112.244415,0,1
-135.9611,37.128433,0,0
-135.9611,37.128433,0,0
-24.542885,-90.37067,0,1
-83.05473,29.458061,0,0
-26.50391,-92.99872,0,1
-69.40425,-88.90933,0,1
-27.645355,90.2419,1,2
-47.95611,-76.096924,0,1
-52.981853,-58.43847,0,1
-45.783127,-68.81763,0,1
-122.51312,-63.750175,0,1
-27.537247,-118.27724,0,1
-22.354462,-110.341324,0,1
-15.369737,-115.13025,0,1
-88.71371,-36.961605,0,1
-94.21515,-71.55563,0,1
-122.06733,62.48263,0,0
-43.256184,-88.35017,0,1
-75.54208,-79.36507,0,1
-17.418665,-91.48593,0,1
-122.51312,-63.750175,0,1
-97.249245,-27.280762,0,0
-72.39492,-82.60885,0,1
-135.87985,-27.779442,0,0
-88.94288,-48.573864,0,1
-42.77999,-87.159935,0,1
-72.8723,-55.90578,0,1
-102.227234,23.968063,0,0
-29.317865,-107.25129,0,1
-83.05473,29.458061,0,0
-10.686425,-121.73948,0,1
-27.645355,90.2419,1,2
